"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","wValue","Info"
"833","128.997949000","host","7.0","USB","80","4420f0e53c14b5400a90e678e04440f0","0x0b23","URB_CONTROL out"
"835","129.002364000","host","7.0","USB","80","75410090e679e0ab3daa3ea93fae408e","0x0b33","URB_CONTROL out"
"837","129.006736000","host","7.0","USB","80","82758300120ebf0540800f90e678e044","0x0b43","URB_CONTROL out"
"839","129.022763000","host","7.0","USB","80","40f075410080037541005391dfd007d0","0x0b53","URB_CONTROL out"
"841","129.027277000","host","7.0","USB","80","06d003d002d001d000d0d0d086d084d0","0x0b63","URB_CONTROL out"
"843","129.031624000","host","7.0","USB","72","85d082d083d0e032","0x0b73","URB_CONTROL out"
"845","129.035997000","host","7.0","USB","66","a907","0x1255","URB_CONTROL out"
"847","129.040400000","host","7.0","USB","80","ae16af178f828e83a3e064037017ad01","0x1257","URB_CONTROL out"
"849","129.044754000","host","7.0","USB","80","19ed7001228f828e83e07c002ffdec3e","0x1267","URB_CONTROL out"
"851","129.049121000","host","7.0","USB","73","feaf0580df7e007f00","0x1277","URB_CONTROL out"
"853","129.053504000","host","7.0","USB","65","22","0x1280","URB_CONTROL out"
"855","129.059199000","host","7.0","USB","80","121162e54124fa600e146006240770f3","0x0bdd","URB_CONTROL out"
"857","129.063666000","host","7.0","USB","76","d322e4f541d322e4f541d322","0x0bed","URB_CONTROL out"
"859","129.068176000","host","7.0","USB","80","1211c8e54124fa600e146006240770f3","0x0dde","URB_CONTROL out"
"861","129.072721000","host","7.0","USB","76","d322e4f541d322e4f541d322","0x0dee","URB_CONTROL out"
"863","129.077181000","host","7.0","USB","80","8e2d8f2e90e600e054187012e52e2401","0x1006","URB_CONTROL out"
"865","129.081633000","host","7.0","USB","80","ffe4352dc313f52def13f52e801590e6","0x1016","URB_CONTROL out"
"867","129.086011000","host","7.0","USB","80","00e05418ffbf100be52e25e0f52ee52d","0x1026","URB_CONTROL out"
"869","129.090389000","host","7.0","USB","80","33f52de52e152eae2d7002152d4e6005","0x1036","URB_CONTROL out"
"871","129.094751000","host","7.0","USB","70","12001780ee22","0x1046","URB_CONTROL out"
"873","129.099121000","host","7.0","USB","80","7400f58690fda57c05a3e582458370f9","0x0017","URB_CONTROL out"
"875","129.103521000","host","7.0","USB","65","22","0x0027","URB_CONTROL out"
"877","129.107860000","host","7.0","USB","67","020c00","0x0043","URB_CONTROL out"
"879","129.112524000","host","7.0","USB","67","020c00","0x0053","URB_CONTROL out"
"881","129.116871000","host","7.0","USB","80","021281000212c7000212b10002129900","0x0c00","URB_CONTROL out"
"883","129.121832000","host","7.0","USB","80","021089000210c00002002a0002003200","0x0c10","URB_CONTROL out"
"885","129.126265000","host","7.0","USB","80","0200420002004a0002005200020bf900","0x0c20","URB_CONTROL out"
"887","129.130605000","host","7.0","USB","80","020bfa00020bfb00020bfc00020bfd00","0x0c30","URB_CONTROL out"
"889","129.134981000","host","7.0","USB","80","020bfe0002003200020bff00020dfa00","0x0c40","URB_CONTROL out"
"891","129.139367000","host","7.0","USB","80","020dfb00020dfc00020dfd00020dfe00","0x0c50","URB_CONTROL out"
"893","129.143729000","host","7.0","USB","80","020dff00020032000200320002003200","0x0c60","URB_CONTROL out"
"895","129.148107000","host","7.0","USB","80","02131100021312000213130002131400","0x0c70","URB_CONTROL out"
"897","129.152478000","host","7.0","USB","80","02131500021316000213170002131800","0x0c80","URB_CONTROL out"
"899","129.156850000","host","7.0","USB","80","0213190002131a0002131b0002131c00","0x0c90","URB_CONTROL out"
"901","129.161235000","host","7.0","USB","80","02131d0002131e0002131f0002132000","0x0ca0","URB_CONTROL out"
"903","129.165610000","host","7.0","USB","72","0213210002132200","0x0cb0","URB_CONTROL out"
"905","129.169998000","host","7.0","USB","67","020d52","0x0000","URB_CONTROL out"
"907","129.174368000","host","7.0","USB","76","787fe4f6d8fd758141020d99","0x0d52","URB_CONTROL out"
"909","129.178756000","host","7.0","USB","80","bb010ce58229f582e5833af583e02250","0x0e92","URB_CONTROL out"
"911","129.183132000","host","7.0","USB","80","06e92582f8e622bbfe06e92582f8e222","0x0ea2","URB_CONTROL out"
"913","129.187481000","host","7.0","USB","77","e58229f582e5833af583e49322","0x0eb2","URB_CONTROL out"
"915","129.191899000","host","7.0","USB","80","f8bb010de58229f582e5833af583e8f0","0x0ebf","URB_CONTROL out"
"917","129.196240000","host","7.0","USB","80","225006e92582c8f622bbfe05e92582c8","0x0ecf","URB_CONTROL out"
"919","129.200723000","host","7.0","USB","66","f222","0x0edf","URB_CONTROL out"
"921","129.205116000","host","7.0","USB","80","eb9ff5f0ea9e42f0e99d42f0e89c45f0","0x0ee1","URB_CONTROL out"
"923","129.210646000","host","7.0","USB","65","22","0x0ef1","URB_CONTROL out"
"925","129.215029000","host","7.0","USB","80","d083d082f8e4937012740193700da3a3","0x0ef2","URB_CONTROL out"
"927","129.219514000","host","7.0","USB","80","93f8740193f5828883e4737402936860","0x0f02","URB_CONTROL out"
"929","129.223869000","host","7.0","USB","70","efa3a3a380df","0x0f12","URB_CONTROL out"
"931","129.228252000","host","7.0","USB","80","020773e493a3f8e493a34003f68001f2","0x0d5e","URB_CONTROL out"
"933","129.232631000","host","7.0","USB","80","08dff48029e493a3f85407240cc8c333","0x0d6e","URB_CONTROL out"
"935","129.237024000","host","7.0","USB","80","c4540f4420c8834004f456800146f6df","0x0d7e","URB_CONTROL out"
"937","129.241364000","host","7.0","USB","80","e4800b010204081020408090095ee47e","0x0d8e","URB_CONTROL out"
"939","129.245750000","host","7.0","USB","80","019360bca3ff543f30e509541ffee493","0x0d9e","URB_CONTROL out"
"941","129.250128000","host","7.0","USB","80","a360010ecf54c025e060a840b8e493a3","0x0dae","URB_CONTROL out"
"943","129.254488000","host","7.0","USB","80","fae493a3f8e493a3c8c582c8cac583ca","0x0dbe","URB_CONTROL out"
"945","129.258858000","host","7.0","USB","80","f0a3c8c582c8cac583cadfe9dee780be","0x0dce","URB_CONTROL out"
"947","129.263250000","host","7.0","USB","65","00","0x0a72","URB_CONTROL out"
"949","129.267629000","host","7.0","USB","65","01","0x7f92","URB_CONTROL out"
"951","129.271995000","host","7.0","USB","65","01","0xe600","URB_CONTROL out"
"953","129.280253000","host","7.0","USB","65","00","0x7f92","URB_CONTROL out"
"955","129.284674000","host","7.0","USB","65","00","0xe600","URB_CONTROL out"
